,zipcode,size,amount_built
1051,11729,medium,0.0
1052,11729,large,3.0
1053,11730,small,0.0
1054,11730,medium,0.0
1055,11730,large,2.0
1056,11731,small,0.0
1057,11731,medium,0.0
1058,11731,large,4.0
1059,11733,small,0.0
1060,11733,medium,0.0
1061,11733,large,0.0
1062,11735,small,0.0
1063,11735,medium,0.0
1064,11735,large,1.0
1065,11738,small,0.0
1066,11738,medium,0.0
1067,11738,large,3.0
1068,11740,small,0.0
1069,11740,medium,0.0
1070,11740,large,1.0
1071,11741,small,0.0
1072,11741,medium,0.0
1073,11741,large,4.0
1074,11742,small,1.0
1075,11742,medium,0.0
1076,11742,large,1.0
1077,11743,small,0.0
1078,11743,medium,0.0
1079,11743,large,0.0
1080,11746,small,0.0
1081,11746,medium,0.0
1082,11746,large,3.0
1083,11747,small,0.0
1084,11747,medium,0.0
1085,11747,large,0.0
1086,11749,small,0.0
1087,11749,medium,0.0
1088,11749,large,0.0
1089,11751,small,0.0
1090,11751,medium,0.0
1091,11751,large,2.0
1092,11752,small,0.0
1093,11752,medium,0.0
1094,11752,large,0.0
1095,11753,small,0.0
1096,11753,medium,1.0
1097,11753,large,1.0
1098,11754,small,0.0
1099,11754,medium,0.0
1100,11754,large,2.0
1101,11755,small,0.0
1102,11755,medium,1.0
1103,11755,large,1.0
1104,11756,small,0.0
1105,11756,medium,0.0
1106,11756,large,2.0
1107,11757,small,0.0
1108,11757,medium,0.0
1109,11757,large,5.0
1110,11758,small,0.0
1111,11758,medium,0.0
1112,11758,large,4.0
1113,11762,small,0.0
1114,11762,medium,0.0
1115,11762,large,4.0
1116,11763,small,0.0
1117,11763,medium,0.0
1118,11763,large,1.0
1119,11764,small,0.0
1120,11764,medium,0.0
1121,11764,large,0.0
1122,11765,small,1.0
1123,11765,medium,0.0
1124,11765,large,0.0
1125,11766,small,0.0
1126,11766,medium,0.0
1127,11766,large,1.0
1128,11767,small,0.0
1129,11767,medium,1.0
1130,11767,large,1.0
1131,11768,small,0.0
1132,11768,medium,0.0
1133,11768,large,0.0
1134,11769,small,0.0
1135,11769,medium,1.0
1136,11769,large,0.0
1137,11771,small,0.0
1138,11771,medium,1.0
1139,11771,large,2.0
1140,11772,small,0.0
1141,11772,medium,0.0
1142,11772,large,4.0
1143,11776,small,0.0
1144,11776,medium,1.0
1145,11776,large,3.0
1146,11777,small,0.0
1147,11777,medium,1.0
1148,11777,large,0.0
1149,11778,small,1.0
1150,11778,medium,0.0
1151,11778,large,2.0
1152,11779,small,0.0
1153,11779,medium,0.0
1154,11779,large,0.0
1155,11780,small,0.0
1156,11780,medium,1.0
1157,11780,large,1.0
1158,11782,small,0.0
1159,11782,medium,0.0
1160,11782,large,2.0
1161,11783,small,0.0
1162,11783,medium,0.0
1163,11783,large,1.0
1164,11784,small,0.0
1165,11784,medium,0.0
1166,11784,large,5.0
1167,11786,small,0.0
1168,11786,medium,1.0
1169,11786,large,0.0
1170,11787,small,0.0
1171,11787,medium,0.0
1172,11787,large,0.0
1173,11788,small,0.0
1174,11788,medium,0.0
1175,11788,large,0.0
1176,11790,small,0.0
1177,11790,medium,0.0
1178,11790,large,1.0
1179,11791,small,0.0
1180,11791,medium,0.0
1181,11791,large,0.0
1182,11792,small,0.0
1183,11792,medium,1.0
1184,11792,large,0.0
1185,11793,small,0.0
1186,11793,medium,0.0
1187,11793,large,2.0
1188,11795,small,0.0
1189,11795,medium,0.0
1190,11795,large,2.0
1191,11796,small,0.0
1192,11796,medium,0.0
1193,11796,large,1.0
1194,11797,small,0.0
1195,11797,medium,0.0
1196,11797,large,0.0
1197,11798,small,0.0
1198,11798,medium,0.0
1199,11798,large,3.0
1200,11801,small,0.0
1201,11801,medium,0.0
1202,11801,large,1.0
1203,11803,small,0.0
1204,11803,medium,0.0
1205,11803,large,0.0
1206,11901,small,0.0
1207,11901,medium,0.0
1208,11901,large,5.0
1209,11933,small,0.0
1210,11933,medium,0.0
1211,11933,large,1.0
1212,11934,small,0.0
1213,11934,medium,0.0
1214,11934,large,1.0
1215,11935,small,1.0
1216,11935,medium,0.0
1217,11935,large,0.0
1218,11937,small,1.0
1219,11937,medium,0.0
1220,11937,large,3.0
1221,11940,small,0.0
1222,11940,medium,0.0
1223,11940,large,1.0
1224,11941,small,0.0
1225,11941,medium,1.0
1226,11941,large,0.0
1227,11946,small,0.0
1228,11946,medium,0.0
1229,11946,large,3.0
1230,11948,small,0.0
1231,11948,medium,0.0
1232,11948,large,0.0
1233,11949,small,1.0
1234,11949,medium,0.0
1235,11949,large,1.0
1236,11950,small,0.0
1237,11950,medium,1.0
1238,11950,large,3.0
1239,11951,small,0.0
1240,11951,medium,1.0
1241,11951,large,3.0
1242,11953,small,0.0
1243,11953,medium,0.0
1244,11953,large,0.0
1245,11954,small,0.0
1246,11954,medium,0.0
1247,11954,large,1.0
1248,11955,small,1.0
1249,11955,medium,0.0
1250,11955,large,0.0
1251,11961,small,0.0
1252,11961,medium,1.0
1253,11961,large,1.0
1254,11963,small,0.0
1255,11963,medium,0.0
1256,11963,large,1.0
1257,11967,small,0.0
1258,11967,medium,1.0
1259,11967,large,3.0
1260,11968,small,0.0
1261,11968,medium,0.0
1262,11968,large,1.0
1263,11971,small,0.0
1264,11971,medium,1.0
1265,11971,large,0.0
1266,11977,small,1.0
1267,11977,medium,0.0
1268,11977,large,0.0
1269,11978,small,0.0
1270,11978,medium,0.0
1271,11978,large,0.0
1272,11980,small,0.0
1273,11980,medium,0.0
1274,11980,large,0.0
1275,12009,small,0.0
1276,12009,medium,1.0
1277,12009,large,1.0
1278,12010,small,0.0
1279,12010,medium,0.0
1280,12010,large,3.0
1281,12018,small,0.0
1282,12018,medium,0.0
1283,12018,large,2.0
1284,12019,small,0.0
1285,12019,medium,0.0
1286,12019,large,2.0
1287,12020,small,0.0
1288,12020,medium,0.0
1289,12020,large,0.0
1290,12022,small,1.0
1291,12022,medium,0.0
1292,12022,large,0.0
1293,12027,small,1.0
1294,12027,medium,0.0
1295,12027,large,0.0
1296,12028,small,1.0
1297,12028,medium,0.0
1298,12028,large,0.0
1299,12033,small,0.0
1300,12033,medium,0.0
1301,12033,large,0.0
1302,12037,small,0.0
1303,12037,medium,0.0
1304,12037,large,1.0
1305,12043,small,0.0
1306,12043,medium,0.0
1307,12043,large,0.0
1308,12047,small,0.0
1309,12047,medium,0.0
1310,12047,large,2.0
1311,12051,small,0.0
1312,12051,medium,0.0
1313,12051,large,1.0
1314,12053,small,1.0
1315,12053,medium,0.0
1316,12053,large,0.0
1317,12054,small,0.0
1318,12054,medium,0.0
1319,12054,large,1.0
1320,12056,small,0.0
1321,12056,medium,0.0
1322,12056,large,0.0
1323,12057,small,0.0
1324,12057,medium,1.0
1325,12057,large,0.0
1326,12061,small,0.0
1327,12061,medium,1.0
1328,12061,large,1.0
1329,12065,small,0.0
1330,12065,medium,0.0
1331,12065,large,0.0
1332,12067,small,1.0
1333,12067,medium,0.0
1334,12067,large,0.0
1335,12068,small,1.0
1336,12068,medium,0.0
1337,12068,large,0.0
1338,12074,small,0.0
1339,12074,medium,0.0
1340,12074,large,1.0
1341,12077,small,1.0
1342,12077,medium,0.0
1343,12077,large,1.0
1344,12078,small,0.0
1345,12078,medium,0.0
1346,12078,large,3.0
1347,12083,small,1.0
1348,12083,medium,0.0
1349,12083,large,0.0
1350,12084,small,0.0
1351,12084,medium,0.0
1352,12084,large,1.0
1353,12085,small,0.0
1354,12085,medium,0.0
1355,12085,large,0.0
1356,12086,small,0.0
1357,12086,medium,0.0
1358,12086,large,0.0
1359,12090,small,1.0
1360,12090,medium,0.0
1361,12090,large,1.0
1362,12093,small,1.0
1363,12093,medium,0.0
1364,12093,large,0.0
1365,12095,small,0.0
1366,12095,medium,0.0
1367,12095,large,1.0
1368,12110,small,0.0
1369,12110,medium,0.0
1370,12110,large,0.0
1371,12116,small,1.0
1372,12116,medium,0.0
1373,12116,large,0.0
1374,12117,small,0.0
1375,12117,medium,1.0
1376,12117,large,0.0
1377,12118,small,0.0
1378,12118,medium,1.0
1379,12118,large,2.0
1380,12120,small,1.0
1381,12120,medium,0.0
1382,12120,large,0.0
1383,12122,small,1.0
1384,12122,medium,0.0
1385,12122,large,0.0
1386,12123,small,0.0
1387,12123,medium,0.0
1388,12123,large,1.0
1389,12134,small,0.0
1390,12134,medium,0.0
1391,12134,large,1.0
1392,12136,small,1.0
1393,12136,medium,0.0
1394,12136,large,0.0
1395,12137,small,0.0
1396,12137,medium,1.0
1397,12137,large,0.0
1398,12138,small,0.0
1399,12138,medium,1.0
1400,12138,large,0.0
1401,12140,small,0.0
1402,12140,medium,1.0
1403,12140,large,0.0
1404,12143,small,1.0
1405,12143,medium,0.0
1406,12143,large,0.0
1407,12144,small,1.0
1408,12144,medium,0.0
1409,12144,large,2.0
1410,12148,small,0.0
1411,12148,medium,1.0
1412,12148,large,0.0
1413,12149,small,0.0
1414,12149,medium,1.0
1415,12149,large,0.0
1416,12151,small,1.0
1417,12151,medium,0.0
1418,12151,large,0.0
1419,12154,small,0.0
1420,12154,medium,1.0
1421,12154,large,0.0
1422,12155,small,1.0
1423,12155,medium,0.0
1424,12155,large,0.0
1425,12157,small,0.0
1426,12157,medium,0.0
1427,12157,large,0.0
1428,12158,small,0.0
1429,12158,medium,1.0
1430,12158,large,0.0
1431,12159,small,0.0
1432,12159,medium,1.0
1433,12159,large,0.0
1434,12160,small,1.0
1435,12160,medium,0.0
1436,12160,large,0.0
1437,12167,small,0.0
1438,12167,medium,1.0
1439,12167,large,0.0
1440,12170,small,0.0
1441,12170,medium,0.0
1442,12170,large,1.0
1443,12180,small,0.0
1444,12180,medium,0.0
1445,12180,large,2.0
1446,12182,small,0.0
1447,12182,medium,1.0
1448,12182,large,1.0
1449,12183,small,0.0
1450,12183,medium,0.0
1451,12183,large,1.0
1452,12184,small,0.0
1453,12184,medium,0.0
1454,12184,large,1.0
1455,12186,small,0.0
1456,12186,medium,1.0
1457,12186,large,0.0
1458,12187,small,1.0
1459,12187,medium,0.0
1460,12187,large,0.0
1461,12188,small,1.0
1462,12188,medium,0.0
1463,12188,large,1.0
1464,12189,small,0.0
1465,12189,medium,0.0
1466,12189,large,2.0
1467,12190,small,1.0
1468,12190,medium,0.0
1469,12190,large,0.0
1470,12196,small,0.0
1471,12196,medium,1.0
1472,12196,large,0.0
1473,12197,small,1.0
1474,12197,medium,0.0
1475,12197,large,0.0
1476,12198,small,0.0
1477,12198,medium,1.0
1478,12198,large,0.0
1479,12202,small,1.0
1480,12202,medium,0.0
1481,12202,large,2.0
1482,12203,small,0.0
1483,12203,medium,0.0
1484,12203,large,0.0
1485,12204,small,0.0
1486,12204,medium,0.0
1487,12204,large,3.0
1488,12205,small,0.0
1489,12205,medium,0.0
1490,12205,large,1.0
1491,12206,small,0.0
1492,12206,medium,0.0
1493,12206,large,0.0
1494,12207,small,0.0
1495,12207,medium,0.0
1496,12207,large,0.0
1497,12208,small,0.0
1498,12208,medium,0.0
1499,12208,large,0.0
1500,12209,small,0.0
1501,12209,medium,0.0
1502,12209,large,2.0
1503,12210,small,0.0
1504,12210,medium,0.0
1505,12210,large,0.0
1506,12211,small,0.0
1507,12211,medium,0.0
1508,12211,large,2.0
1509,12302,small,0.0
1510,12302,medium,0.0
1511,12302,large,3.0
1512,12303,small,0.0
1513,12303,medium,0.0
1514,12303,large,2.0
1515,12304,small,0.0
1516,12304,medium,0.0
1517,12304,large,2.0
1518,12305,small,0.0
1519,12305,medium,0.0
1520,12305,large,0.0
1521,12306,small,0.0
1522,12306,medium,0.0
1523,12306,large,4.0
1524,12307,small,0.0
1525,12307,medium,0.0
1526,12307,large,2.0
1527,12308,small,0.0
1528,12308,medium,0.0
1529,12308,large,2.0
1530,12309,small,0.0
1531,12309,medium,0.0
1532,12309,large,5.0
1533,12401,small,0.0
1534,12401,medium,0.0
1535,12401,large,4.0
1536,12404,small,0.0
1537,12404,medium,0.0
1538,12404,large,1.0
1539,12405,small,1.0
1540,12405,medium,0.0
1541,12405,large,0.0
1542,12406,small,0.0
1543,12406,medium,0.0
1544,12406,large,0.0
1545,12413,small,1.0
1546,12413,medium,0.0
1547,12413,large,0.0
1548,12414,small,0.0
1549,12414,medium,0.0
1550,12414,large,2.0
1551,12419,small,0.0
1552,12419,medium,1.0
1553,12419,large,0.0
1554,12428,small,0.0
1555,12428,medium,0.0
1556,12428,large,1.0
1557,12431,small,0.0
1558,12431,medium,1.0
1559,12431,large,0.0
1560,12434,small,0.0
1561,12434,medium,1.0
1562,12434,large,0.0
1563,12443,small,0.0
1564,12443,medium,0.0
1565,12443,large,0.0
1566,12446,small,0.0
1567,12446,medium,0.0
1568,12446,large,1.0
1569,12449,small,0.0
1570,12449,medium,0.0
1571,12449,large,0.0
1572,12451,small,1.0
1573,12451,medium,0.0
1574,12451,large,0.0
1575,12455,small,1.0
1576,12455,medium,0.0
1577,12455,large,0.0
1578,12457,small,0.0
1579,12457,medium,1.0
1580,12457,large,0.0
1581,12461,small,1.0
1582,12461,medium,0.0
1583,12461,large,0.0
1584,12463,small,1.0
1585,12463,medium,0.0
1586,12463,large,0.0
1587,12464,small,0.0
1588,12464,medium,0.0
1589,12464,large,0.0
1590,12466,small,0.0
1591,12466,medium,1.0
1592,12466,large,0.0
1593,12477,small,0.0
1594,12477,medium,0.0
1595,12477,large,1.0
1596,12484,small,1.0
1597,12484,medium,0.0
1598,12484,large,0.0
1599,12485,small,1.0
1600,12485,medium,0.0
1601,12485,large,0.0
1602,12498,small,1.0
1603,12498,medium,0.0
1604,12498,large,0.0
1605,12501,small,0.0
1606,12501,medium,0.0
1607,12501,large,0.0
1608,12508,small,0.0
1609,12508,medium,0.0
1610,12508,large,0.0
1611,12518,small,0.0
1612,12518,medium,0.0
1613,12518,large,1.0
1614,12520,small,0.0
1615,12520,medium,0.0
1616,12520,large,0.0
1617,12521,small,1.0
1618,12521,medium,0.0
1619,12521,large,0.0
1620,12522,small,0.0
1621,12522,medium,1.0
1622,12522,large,0.0
1623,12524,small,0.0
1624,12524,medium,0.0
1625,12524,large,1.0
1626,12526,small,0.0
1627,12526,medium,1.0
1628,12526,large,0.0
1629,12528,small,0.0
1630,12528,medium,0.0
1631,12528,large,1.0
1632,12531,small,1.0
1633,12531,medium,0.0
1634,12531,large,0.0
1635,12533,small,0.0
1636,12533,medium,0.0
1637,12533,large,2.0
1638,12534,small,0.0
1639,12534,medium,0.0
1640,12534,large,1.0
1641,12538,small,0.0
1642,12538,medium,0.0
1643,12538,large,0.0
1644,12540,small,1.0
1645,12540,medium,0.0
1646,12540,large,1.0
1647,12542,small,1.0
1648,12542,medium,0.0
1649,12542,large,0.0
1650,12545,small,1.0
1651,12545,medium,0.0
1652,12545,large,0.0
1653,12546,small,1.0
1654,12546,medium,0.0
1655,12546,large,0.0
1656,12547,small,1.0
1657,12547,medium,0.0
1658,12547,large,0.0
1659,12549,small,0.0
1660,12549,medium,0.0
1661,12549,large,0.0
1662,12550,small,0.0
1663,12550,medium,0.0
1664,12550,large,5.0
1665,12553,small,0.0
1666,12553,medium,0.0
1667,12553,large,1.0
1668,12561,small,0.0
1669,12561,medium,0.0
1670,12561,large,1.0
1671,12563,small,0.0
1672,12563,medium,0.0
1673,12563,large,0.0
1674,12564,small,0.0
1675,12564,medium,0.0
1676,12564,large,1.0
1677,12565,small,0.0
1678,12565,medium,1.0
1679,12565,large,0.0
1680,12566,small,0.0
1681,12566,medium,0.0
1682,12566,large,2.0
1683,12569,small,0.0
1684,12569,medium,1.0
1685,12569,large,1.0
1686,12570,small,0.0
1687,12570,medium,0.0
1688,12570,large,2.0
1689,12571,small,0.0
1690,12571,medium,1.0
1691,12571,large,0.0
1692,12572,small,1.0
1693,12572,medium,0.0
1694,12572,large,0.0
1695,12575,small,1.0
1696,12575,medium,0.0
1697,12575,large,0.0
1698,12577,small,1.0
1699,12577,medium,0.0
1700,12577,large,0.0
1701,12578,small,1.0
1702,12578,medium,0.0
1703,12578,large,0.0
1704,12580,small,0.0
1705,12580,medium,0.0
1706,12580,large,1.0
1707,12581,small,0.0
1708,12581,medium,1.0
1709,12581,large,0.0
1710,12582,small,0.0
1711,12582,medium,1.0
1712,12582,large,0.0
1713,12583,small,1.0
1714,12583,medium,0.0
1715,12583,large,0.0
1716,12585,small,1.0
1717,12585,medium,0.0
1718,12585,large,0.0
1719,12586,small,0.0
1720,12586,medium,1.0
1721,12586,large,2.0
1722,12589,small,1.0
1723,12589,medium,0.0
1724,12589,large,3.0
1725,12590,small,0.0
1726,12590,medium,0.0
1727,12590,large,1.0
1728,12594,small,0.0
1729,12594,medium,0.0
1730,12594,large,0.0
1731,12601,small,0.0
1732,12601,medium,0.0
1733,12601,large,4.0
1734,12603,small,0.0
1735,12603,medium,0.0
1736,12603,large,4.0
1737,12701,small,0.0
1738,12701,medium,0.0
1739,12701,large,1.0
1740,12719,small,1.0
1741,12719,medium,0.0
1742,12719,large,0.0
1743,12721,small,0.0
1744,12721,medium,1.0
1745,12721,large,2.0
1746,12723,small,1.0
1747,12723,medium,0.0
1748,12723,large,0.0
1749,12725,small,1.0
1750,12725,medium,0.0
1751,12725,large,0.0
1752,12726,small,0.0
1753,12726,medium,1.0
1754,12726,large,0.0
1755,12729,small,0.0
1756,12729,medium,0.0
1757,12729,large,1.0
1758,12732,small,1.0
1759,12732,medium,0.0
1760,12732,large,0.0
1761,12737,small,1.0
1762,12737,medium,0.0
1763,12737,large,0.0
1764,12738,small,1.0
1765,12738,medium,0.0
1766,12738,large,0.0
1767,12740,small,1.0
1768,12740,medium,0.0
1769,12740,large,0.0
1770,12747,small,0.0
1771,12747,medium,1.0
1772,12747,large,0.0
1773,12748,small,1.0
1774,12748,medium,0.0
1775,12748,large,0.0
1776,12754,small,0.0
1777,12754,medium,0.0
1778,12754,large,2.0
1779,12758,small,1.0
1780,12758,medium,0.0
1781,12758,large,0.0
1782,12762,small,0.0
1783,12762,medium,0.0
1784,12762,large,0.0
1785,12764,small,1.0
1786,12764,medium,0.0
1787,12764,large,0.0
1788,12771,small,0.0
1789,12771,medium,0.0
1790,12771,large,1.0
1791,12775,small,0.0
1792,12775,medium,1.0
1793,12775,large,0.0
1794,12788,small,0.0
1795,12788,medium,0.0
1796,12788,large,0.0
1797,12789,small,0.0
1798,12789,medium,1.0
1799,12789,large,0.0
1800,12790,small,0.0
1801,12790,medium,0.0
1802,12790,large,1.0
1803,12791,small,1.0
1804,12791,medium,0.0
1805,12791,large,0.0
1806,12801,small,0.0
1807,12801,medium,0.0
1808,12801,large,2.0
1809,12803,small,0.0
1810,12803,medium,0.0
1811,12803,large,2.0
1812,12804,small,0.0
1813,12804,medium,0.0
1814,12804,large,1.0
1815,12809,small,0.0
1816,12809,medium,0.0
1817,12809,large,1.0
1818,12814,small,1.0
1819,12814,medium,0.0
1820,12814,large,0.0
1821,12816,small,1.0
1822,12816,medium,0.0
1823,12816,large,0.0
1824,12817,small,1.0
1825,12817,medium,0.0
1826,12817,large,0.0
1827,12821,small,1.0
1828,12821,medium,0.0
1829,12821,large,0.0
1830,12822,small,0.0
1831,12822,medium,1.0
1832,12822,large,1.0
1833,12828,small,0.0
1834,12828,medium,1.0
1835,12828,large,0.0
1836,12831,small,0.0
1837,12831,medium,1.0
1838,12831,large,3.0
1839,12832,small,0.0
1840,12832,medium,0.0
1841,12832,large,1.0
1842,12833,small,0.0
1843,12833,medium,0.0
1844,12833,large,1.0
1845,12834,small,0.0
1846,12834,medium,0.0
1847,12834,large,1.0
1848,12839,small,0.0
1849,12839,medium,1.0
1850,12839,large,1.0
1851,12842,small,1.0
1852,12842,medium,0.0
1853,12842,large,0.0
1854,12845,small,0.0
1855,12845,medium,0.0
1856,12845,large,1.0
1857,12846,small,1.0
1858,12846,medium,0.0
1859,12846,large,0.0
1860,12849,small,0.0
1861,12849,medium,0.0
1862,12849,large,0.0
1863,12865,small,0.0
1864,12865,medium,0.0
1865,12865,large,1.0
1866,12866,small,0.0
1867,12866,medium,0.0
1868,12866,large,2.0
1869,12870,small,1.0
1870,12870,medium,0.0
1871,12870,large,0.0
1872,12871,small,0.0
1873,12871,medium,0.0
1874,12871,large,1.0
1875,12883,small,0.0
1876,12883,medium,0.0
1877,12883,large,1.0
1878,12885,small,0.0
1879,12885,medium,1.0
1880,12885,large,0.0
1881,12887,small,0.0
1882,12887,medium,0.0
1883,12887,large,1.0
1884,12901,small,0.0
1885,12901,medium,0.0
1886,12901,large,3.0
1887,12903,small,0.0
1888,12903,medium,0.0
1889,12903,large,0.0
1890,12912,small,1.0
1891,12912,medium,0.0
1892,12912,large,0.0
1893,12913,small,0.0
1894,12913,medium,0.0
1895,12913,large,0.0
1896,12914,small,1.0
1897,12914,medium,0.0
1898,12914,large,0.0
1899,12916,small,0.0
1900,12916,medium,1.0
1901,12916,large,0.0
1902,12918,small,0.0
1903,12918,medium,1.0
1904,12918,large,0.0
1905,12919,small,0.0
1906,12919,medium,1.0
1907,12919,large,0.0
1908,12920,small,0.0
1909,12920,medium,1.0
1910,12920,large,0.0
1911,12921,small,0.0
1912,12921,medium,0.0
1913,12921,large,1.0
1914,12923,small,1.0
1915,12923,medium,0.0
1916,12923,large,0.0
1917,12926,small,0.0
1918,12926,medium,0.0
1919,12926,large,1.0
1920,12932,small,0.0
1921,12932,medium,0.0
1922,12932,large,0.0
1923,12934,small,0.0
1924,12934,medium,1.0
1925,12934,large,0.0
1926,12935,small,1.0
1927,12935,medium,0.0
1928,12935,large,0.0
1929,12936,small,1.0
1930,12936,medium,0.0
1931,12936,large,0.0
1932,12937,small,0.0
1933,12937,medium,1.0
1934,12937,large,0.0
1935,12941,small,1.0
1936,12941,medium,0.0
1937,12941,large,0.0
1938,12942,small,0.0
1939,12942,medium,0.0
1940,12942,large,0.0
1941,12943,small,0.0
1942,12943,medium,0.0
1943,12943,large,0.0
1944,12944,small,1.0
1945,12944,medium,0.0
1946,12944,large,0.0
1947,12946,small,1.0
1948,12946,medium,0.0
1949,12946,large,0.0
1950,12950,small,1.0
1951,12950,medium,0.0
1952,12950,large,0.0
1953,12953,small,0.0
1954,12953,medium,1.0
1955,12953,large,1.0
1956,12956,small,1.0
1957,12956,medium,0.0
1958,12956,large,0.0
1959,12958,small,1.0
1960,12958,medium,0.0
1961,12958,large,0.0
1962,12959,small,1.0
1963,12959,medium,0.0
1964,12959,large,0.0
1965,12960,small,0.0
1966,12960,medium,1.0
1967,12960,large,0.0
1968,12962,small,0.0
1969,12962,medium,0.0
1970,12962,large,1.0
1971,12972,small,0.0
1972,12972,medium,1.0
1973,12972,large,1.0
1974,12974,small,0.0
1975,12974,medium,1.0
1976,12974,large,0.0
1977,12979,small,0.0
1978,12979,medium,0.0
1979,12979,large,0.0
1980,12981,small,1.0
1981,12981,medium,0.0
1982,12981,large,0.0
1983,12983,small,0.0
1984,12983,medium,0.0
1985,12983,large,1.0
1986,12985,small,0.0
1987,12985,medium,0.0
1988,12985,large,0.0
1989,12986,small,1.0
1990,12986,medium,0.0
1991,12986,large,0.0
1992,12992,small,0.0
1993,12992,medium,0.0
1994,12992,large,1.0
1995,12993,small,0.0
1996,12993,medium,0.0
1997,12993,large,0.0
1998,12996,small,1.0
1999,12996,medium,0.0
2000,12996,large,0.0
2001,13021,small,0.0
2002,13021,medium,0.0
2003,13021,large,3.0
2004,13027,small,0.0
2005,13027,medium,0.0
2006,13027,large,5.0
2007,13029,small,0.0
2008,13029,medium,0.0
2009,13029,large,2.0
2010,13030,small,0.0
2011,13030,medium,0.0
2012,13030,large,1.0
2013,13031,small,0.0
2014,13031,medium,0.0
2015,13031,large,2.0
2016,13032,small,1.0
2017,13032,medium,0.0
2018,13032,large,1.0
2019,13033,small,0.0
2020,13033,medium,1.0
2021,13033,large,0.0
2022,13035,small,1.0
2023,13035,medium,0.0
2024,13035,large,0.0
2025,13036,small,0.0
2026,13036,medium,1.0
2027,13036,large,1.0
2028,13037,small,0.0
2029,13037,medium,1.0
2030,13037,large,1.0
2031,13039,small,0.0
2032,13039,medium,0.0
2033,13039,large,1.0
2034,13041,small,0.0
2035,13041,medium,0.0
2036,13041,large,1.0
2037,13044,small,0.0
2038,13044,medium,0.0
2039,13044,large,1.0
2040,13045,small,0.0
2041,13045,medium,0.0
2042,13045,large,1.0
2043,13052,small,0.0
2044,13052,medium,1.0
2045,13052,large,0.0
2046,13053,small,1.0
2047,13053,medium,0.0
2048,13053,large,0.0
2049,13054,small,1.0
2050,13054,medium,0.0
2051,13054,large,0.0
2052,13057,small,0.0
2053,13057,medium,0.0
2054,13057,large,0.0
